,word,freq
912,sisters,42
124,gentlemen,42
3704,road,42
40,“jane,42
2415,forget,42
659,book,41
3293,girls,41
796,moon,41
521,coming,41
2045,during,41
1396,gateshead,41
411,bear,41
3181,oh,40
1905,exclaimed,40
1521,glance,40
1044,presence,40
2695,hard,40
758,above,40
2547,change,40
1363,added,40
1451,silent,40
514,glad,40
586,really,40
2999,bread,39
538,georgiana,39
346,amongst,39
416,mere,39
1540,spirit,39
2296,“my,39
4321,“he,39
409,bright,39
2326,strength,39
1515,yes,39
366,reader,39
1232,french,39
1331,ere,39
2055,“do,39
648,clear,39
628,feet,39
2494,you?”,38
1278,“if,38
3151,“how,38
14878,rivers,38
2281,sweet,38
2529,lived,38
2067,“then,38
1768,church,38
1012,mother,38
290,probably,37
2095,conversation,37
1739,past,37
606,manner,37
1683,soul,37
2188,late,37
662,afternoon,37
2846,seek,37
1373,dead,37
3582,sky,37
1423,soft,37
3694,need,37
2704,tone,37
4217,form,37
1304,seat,36
1101,business,36
3671,hardly,36
5977,jane?”,36
1585,please,36
14651,hannah,36
508,further,36
2492,“not,36
1888,filled,36
986,ought,36
1176,closed,36
1389,chamber,36
2057,sleep,36
4245,bent,36
2518,expected,36
690,speaking,35
3112,tall,35
3781,wood,35
964,ten,35
73,fair,35
3430,loved,34
1181,blood,34
1323,reply,34
1063,presently,34
2181,placed,34
215,truth,34
2075,matter,34
2001,sitting,34
2762,usual,34
1338,existence,34
482,taking,34
113,men,33
3372,brow,33
5322,approached,33
1069,suddenly,33
2441,true,33
2008,arm,33
232,bad,33
3210,“mr,33
5278,rising,33
1065,wonder,33
2841,hours,33
2010,five,33
2102,dressed,33
3019,trouble,33
2215,england,33
7965,fortune,33
1368,send,33
82,aid,33
2983,front,33
64,ear,33
808,trees,33
650,glass,32
1064,deal,32
3880,different,32
3420,walked,32
1257,gentleman,32
1681,die,32
1486,state,32
1833,tears,32
1805,family,32
1365,pleasant,32
1725,handsome,32
5090,living,32
3564,sun,32
1166,“did,32
2413,help,32
569,distance,32
1160,also,32
3521,meet,31
3303,dress,31
3905,schoolroom,31
2805,quietly,31
506,rain,31
46,none,31
962,four,31
3079,sight,31
670,scene,31
1109,children,31
2154,calm,31
2978,watched,31
1273,rise,31
1711,interest,31
2191,flowers,30
5692,rich,30
1512,dared,30
967,age,30
216,narrow,30
1997,became,30
7099,laugh,30
2633,blue,30
1185,somewhat,30
2409,afraid,30
2307,watch,30
1265,servant,30
3212,letter,30
1623,broke,30
791,broken,30
3214,ago,30
3811,forehead,30
1898,along,30
2135,cheek,30
1895,shook,30
6724,case,29
261,clean,29
4287,lost,29
1104,money,29
3755,gallery,29
3313,observed,29
1855,lifted,29
584,natural,29
3813,countenance,29
1846,pity,29
3814,grave,29
1016,times,29
1539,real,29
1537,else,29
893,feared,28
3915,dream,28
4265,replied,28
812,wall,28
7951,brother,28
6308,millcote,28
2797,tired,28
1773,led,28
5347,offer,28
2451,beautiful,28
436,bell,28
1606,delight,28
2864,task,28
531,nurse,28
3021,listen,28
563,saying,28
1601,beauty,28
1090,certainly,28
1039,subject,28
3138,ready,27
1787,dare,27
9200,dent,27
474,future,27
1896,effort,27
2593,friends,27
860,hearth,27
3632,tea,27
1419,foot,27
1897,steps,27
1740,o’clock,27
118,stranger,27
6121,marriage,27
3805,showed,27
4168,garden,27
5726,green,27
3719,“yes.”,27
2085,to-night,27
1598,carriage,27
493,dinner,27
9207,eshton,27
1017,week,27
3067,me?”,27
1748,grew,27
3208,proceeded,27
153,books,27
1024,flesh,27
3483,understand,27
2884,breakfast,27
3503,smiled,27
1199,upstairs,27
664,offered,27
536,eliza,27
6629,consider,26
3044,months,26
1856,tried,26
3058,forward,26
4686,language,26
253,show,26
2330,heaven,26
5304,ground,26
1453,kitchen,26
543,drawing-room,26
3826,inquired,26
542,mama,26
2505,liberty,26
441,third,26
314,thinking,26
1092,doing,26
2778,thin,26
4015,others,26
1786,considered,25
958,stand,25
2273,meantime,25
1531,figure,25
3709,reached,25
2318,passing,25
2428,frame,25
1359,try,25
992,miles,25
157,whatever,25
2789,below,25
68,plain,25
1142,cut,25
1103,says,25
3410,settled,25
1011,affection,25
2656,weeks,25
1783,promise,25
4392,seems,25
636,nearly,25
632,drawn,25
5079,to-morrow,25
712,“where,25
497,company,25
259,walls,25
671,wet,25
6108,governess,25
6614,“now,25
4754,pure,25
635,curtain,25
3596,“why,24
4251,happened,24
1944,means,24
889,knee,24
6608,leah,24
1476,husband,24
