,word,freq
1310,mouth,37
4163,mother,37
526,high,37
91,papers,37
2452,brought,37
870,either,37
3134,task,36
1828,silent,36
1262,low,36
94,placed,36
865,mean,36
718,“oh,36
1375,ground,36
1388,minutes,36
1891,seeing,36
2595,free,36
156,early,36
3678,westenra,36
1921,“but,36
163,train,36
2171,study,36
734,comfort,36
1566,raised,35
3280,effort,35
2032,glad,35
792,comes,35
2516,earth,35
2328,quickly,35
2036,friends,35
3978,renfield,35
6270,“what,34
3407,danger,34
8356,un-dead,34
329,talk,34
1592,broken,34
1863,forehead,34
3408,wake,34
1021,deep,34
754,taking,34
2092,“we,34
2655,purpose,34
394,slept,34
400,sleeping,33
1283,beside,33
4356,tomb,33
1673,save,33
785,feeling,33
3012,girl,33
661,somewhat,33
822,fire,33
594,expected,33
21,act,33
599,usual,33
2826,manner,33
2695,letters,33
2077,learn,33
4814,nature,33
492,except,33
1542,moonlight,33
468,outside,33
1128,cut,33
1077,turn,33
428,further,33
3274,cried,33
1859,thin,33
2760,bad,32
529,black,32
2529,wonder,32
647,land,32
193,possible,32
263,having,32
2962,sad,32
1751,table,32
936,speaking,32
3824,grave,32
984,order,32
1002,really,32
276,struck,32
720,“it,32
1195,hold,31
856,bag,31
950,road,31
2493,brave,31
5300,coffin,31
646,beautiful,31
1266,less,31
837,seat,31
1389,shock,31
1438,doing,31
3361,herself,31
1569,arms,31
716,shook,30
640,bring,30
572,beginning,30
841,sitting,30
1819,send,30
880,pointed,30
917,whose,30
1732,wall,30
3825,can’t,30
1490,awful,30
692,else,30
1947,written,30
1083,ears,30
756,neck,30
4076,churchyard,30
1164,smile,30
1170,pause,30
1219,forward,30
658,making,30
0,dracula,30
470,river,30
199,east,30
1938,hours,29
2430,knows,29
181,feared,29
835,driver,29
1738,sir,29
685,themselves,29
3080,met,29
2379,man’s,29
1707,holding,29
1082,nor,29
703,state,29
4797,experience,29
4670,mist,29
1992,locked,28
126,past,28
2848,hall,28
1701,fixed,28
735,effect,28
626,followed,28
4216,ye,28
990,run,28
455,wide,28
969,shut,28
1356,across,28
2312,yesterday,28
382,dog,28
2033,interest,28
6503,flowers,27
2052,thank,27
3003,laugh,27
899,touched,27
2893,dust,27
2090,reason,27
427,move,27
217,pretty,27
5252,sunrise,27
1611,mine,27
779,waiting,27
1393,waited,27
170,wonderful,27
672,wife,27
563,years,27
3388,become,27
1650,dawn,27
2422,mad,27
270,search,26
980,bent,26
1415,sudden,26
3115,horror,26
3290,empty,26
189,start,26
1729,eat,26
3238,woke,26
3701,show,26
1607,notice,26
3104,promise,26
1004,point,26
279,hardly,26
2697,“then,26
2097,happened,26
564,ago,26
805,awake,26
5361,breathing,26
417,started,26
4610,anxious,26
2258,live,26
2140,whatever,26
2023,somehow,25
2657,thus,25
878,sign,25
4047,harbour,25
3872,didn’t,25
3672,god’s,25
4037,telegram,25
1397,somewhere,25
227,dinner,25
229,rather,25
4539,attendant,25
1160,added,25
1874,sharp,25
1926,entered,25
1039,arm,25
966,swept,24
2339,bear,24
673,lady,24
2338,telling,24
403,breakfast,24
1549,terror,24
299,known,24
1005,beyond,24
1068,noticed,24
6635,wolf,24
872,vampire,24
3387,pity,24
5198,fog,24
3149,lock,24
1649,horrible,24
1301,replied,24
1293,bright,24
120,fact,24
4257,wrong,24
3095,loved,24
1271,return,24
1449,places,24
2839,deal,24
2905,fair,23
694,means,23
727,evil,23
83,spoken,23
1139,grim,23
1358,master,23
2336,safe,23
2833,escape,23
2326,flies,23
1252,lying,23
3468,lose,23
28,country,23
423,sit,23
1057,evening,23
1260,thinking,23
460,subject,23
670,questions,23
2063,common,23
2690,satisfied,23
3240,paper,23
332,four,23
2166,me.”,23
1516,during,23
2216,carfax,23
2416,rushed,23
469,edge,23
2738,varna,23
1922,tired,23
2784,fresh,23
2265,lie,23
737,knees,23
4346,cliff,22
901,forget,22
1158,dogs,22
383,howling,22
988,different,22
1137,carried,22
1115,growing,22
884,meant,22
5135,mate,22
1268,turning,22
2621,begin,22
1913,children,22
1805,hawkins,22
621,smiled,22
1763,seemingly,22
1762,lit,22
1976,rooms,22
1745,floor,22
6243,helsing’s,22
1978,glass,22
1618,stone,22
1594,showed,22
1908,below,22
630,returned,22
196,leaving,22
3369,breast,22
2189,habit,22
2417,trying,22
1373,straight,22
5389,figure,22
4492,account,22
2618,father,21
2346,shoulder,21
2311,wishes,21
2829,dread,21
1932,sake,21
892,eye,21
801,trees,21
2395,prepared,21
2146,remained,21
4802,captain,21
2999,truth,21
1898,breath,21
1852,opportunity,21
1302,“that,21
7631,piccadilly,21
1331,putting,21
320,town,21
3398,action,21
1129,darkness,21
1464,fine,21
3241,surprise,21
160,arrived,21
5753,grow,21
1576,dreadful,21
3746,doctor,21
3026,bitter,21
3782,september,21
3503,monster,21
1800,please,21
2929,lies,21
1552,remain,21
207,noble,21
4006,art,21
605,front,21
1703,stepped,20
424,carriage,20
530,hair,20
1746,steps,20
114,belief,20
1138,thoughts,20
1844,finished,20
844,name,20
1884,cheeks,20
808,odd,20
2867,corner,20
