name,total_words,distinct_words,alpha,C
frankenstein,77954,7524,1.1158263321046284,6.148802671364616
dracula,160640,11811,1.028169553544468,8.819890643516198
jane_eyre,185390,17498,0.9702887191250706,11.91065966834563
